--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Mon Oct  9 12:58:14 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 13944, 'username': 'ADPROD\\khiray', 'name': 'Teams.exe', 'vms': 131.53125}
{'pid': 13948, 'username': 'ADPROD\\khiray', 'name': 'dllhost.exe', 'vms': 2.19140625}
{'pid': 13964, 'username': 'ADPROD\\khiray', 'name': 'ctfmon.exe', 'vms': 4.4375}
{'pid': 13972, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 3.91796875}
{'pid': 13976, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 11.01953125}
{'pid': 14012, 'username': None, 'name': 'RtkAudUService64.exe', 'vms': 4.7265625}
{'pid': 14024, 'username': 'ADPROD\\khiray', 'name': 'notepad++.exe', 'vms': 16.40234375}
{'pid': 14060, 'username': None, 'name': 'svchost.exe', 'vms': 3.34375}
{'pid': 14168, 'username': 'ADPROD\\khiray', 'name': 'fcagte.exe', 'vms': 41.828125}
{'pid': 14344, 'username': 'ADPROD\\khiray', 'name': 'ApplicationFrameHost.exe', 'vms': 16.71484375}
{'pid': 14360, 'username': 'ADPROD\\khiray', 'name': 'pwsh.exe', 'vms': 47.703125}
{'pid': 14444, 'username': 'ADPROD\\khiray', 'name': 'chrome.exe', 'vms': 36.83203125}
{'pid': 14448, 'username': 'ADPROD\\khiray', 'name': 'SearchHost.exe', 'vms': 206.5078125}
{'pid': 14484, 'username': 'ADPROD\\khiray', 'name': 'StartMenuExperienceHost.exe', 'vms': 57.8671875}
{'pid': 14560, 'username': 'ADPROD\\khiray', 'name': 'MfeFfCore.exe', 'vms': 5.609375}
{'pid': 14660, 'username': 'ADPROD\\khiray', 'name': 'MfeFfProxy32.exe', 'vms': 2.91796875}
{'pid': 14700, 'username': 'ADPROD\\khiray', 'name': 'Widgets.exe', 'vms': 15.828125}
{'pid': 14852, 'username': None, 'name': 'SecurityHealthService.exe', 'vms': 3.546875}
{'pid': 15100, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 2.12890625}
{'pid': 15340, 'username': 'ADPROD\\khiray', 'name': 'RuntimeBroker.exe', 'vms': 10.03515625}
{'pid': 15372, 'username': 'ADPROD\\khiray', 'name': 'RuntimeBroker.exe', 'vms': 7.7734375}
{'pid': 15584, 'username': 'ADPROD\\khiray', 'name': 'RuntimeBroker.exe', 'vms': 16.03125}
{'pid': 15644, 'username': 'ADPROD\\khiray', 'name': 'OneDrive.exe', 'vms': 114.94921875}
{'pid': 15648, 'username': 'ADPROD\\khiray', 'name': 'WavesSvc64.exe', 'vms': 230.96484375}
{'pid': 15688, 'username': None, 'name': 'conhost.exe', 'vms': 6.02734375}
{'pid': 15720, 'username': 'ADPROD\\khiray', 'name': 'chrome.exe', 'vms': 291.1015625}
{'pid': 15856, 'username': 'ADPROD\\khiray', 'name': 'Skype.exe', 'vms': 196.2578125}
{'pid': 15876, 'username': 'ADPROD\\khiray', 'name': 'SystemSettings.exe', 'vms': 69.9140625}
{'pid': 15880, 'username': None, 'name': 'svchost.exe', 'vms': 3.47265625}
{'pid': 15968, 'username': 'ADPROD\\khiray', 'name': 'dllhost.exe', 'vms': 5.72265625}
{'pid': 16332, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 185.4140625}
{'pid': 16548, 'username': 'ADPROD\\khiray', 'name': 'SecurityHealthSystray.exe', 'vms': 2.1875}
{'pid': 16696, 'username': 'ADPROD\\khiray', 'name': 'CvEdgeMonitor.exe', 'vms': 55.91796875}
{'pid': 16812, 'username': None, 'name': 'svchost.exe', 'vms': 1.6953125}
{'pid': 16820, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 45.203125}
{'pid': 16900, 'username': 'ADPROD\\khiray', 'name': 'unsecapp.exe', 'vms': 1.9765625}
{'pid': 17040, 'username': 'ADPROD\\khiray', 'name': 'RtkAudUService64.exe', 'vms': 4.25390625}
{'pid': 17064, 'username': 'ADPROD\\khiray', 'name': 'firefox.exe', 'vms': 40.66796875}
{'pid': 17488, 'username': 'ADPROD\\khiray', 'name': 'CiscoCollabHost.exe', 'vms': 299.9453125}
{'pid': 17532, 'username': 'ADPROD\\khiray', 'name': 'WebexHost.exe', 'vms': 12.25}
{'pid': 17752, 'username': 'ADPROD\\khiray', 'name': 'chrome.exe', 'vms': 224.8203125}
{'pid': 17888, 'username': 'ADPROD\\khiray', 'name': 'chrome.exe', 'vms': 22.54296875}
{'pid': 17984, 'username': 'ADPROD\\khiray', 'name': 'Teams.exe', 'vms': 109.53125}
{'pid': 18020, 'username': 'ADPROD\\khiray', 'name': 'fcnm.exe', 'vms': 3.34375}
{'pid': 18036, 'username': 'ADPROD\\khiray', 'name': 'atmgr.exe', 'vms': 73.1953125}
{'pid': 18136, 'username': 'ADPROD\\khiray', 'name': 'CiscoCollabHost.exe', 'vms': 104.6484375}
{'pid': 18288, 'username': 'ADPROD\\khiray', 'name': 'wmlhost.exe', 'vms': 162.609375}
{'pid': 18340, 'username': None, 'name': 'crashpad_handler.exe', 'vms': 1.73828125}
{'pid': 18368, 'username': 'ADPROD\\khiray', 'name': 'Teams.exe', 'vms': 111.76171875}
{'pid': 18388, 'username': None, 'name': 'svchost.exe', 'vms': 3.26953125}
{'pid': 18588, 'username': 'ADPROD\\khiray', 'name': 'Skype.exe', 'vms': 13.37890625}
{'pid': 18640, 'username': None, 'name': 'svchost.exe', 'vms': 1.984375}
{'pid': 18792, 'username': 'ADPROD\\khiray', 'name': 'SystemSettingsBroker.exe', 'vms': 8.07421875}
{'pid': 18928, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 182.82421875}
{'pid': 19040, 'username': 'ADPROD\\khiray', 'name': 'firefox.exe', 'vms': 27.01953125}
{'pid': 19324, 'username': 'ADPROD\\khiray', 'name': 'CiscoCollabHost.exe', 'vms': 77.234375}
{'pid': 19452, 'username': 'ADPROD\\khiray', 'name': 'Zoho Mail - Desktop.exe', 'vms': 12.80859375}
{'pid': 19568, 'username': 'ADPROD\\khiray', 'name': 'Grammarly.Desktop.exe', 'vms': 251.22265625}
{'pid': 19612, 'username': 'ADPROD\\khiray', 'name': 'firefox.exe', 'vms': 33.02734375}
{'pid': 19636, 'username': 'ADPROD\\khiray', 'name': 'Teams.exe', 'vms': 25.53125}
{'pid': 19752, 'username': 'ADPROD\\khiray', 'name': 'dllhost.exe', 'vms': 1.8203125}
{'pid': 19804, 'username': None, 'name': 'BeyondIdentityViewHelper.exe', 'vms': 6.73828125}
{'pid': 19932, 'username': 'ADPROD\\khiray', 'name': 'Zoho Mail - Desktop.exe', 'vms': 66.88671875}
{'pid': 19992, 'username': 'ADPROD\\khiray', 'name': 'OUTLOOK.EXE', 'vms': 245.1875}
{'pid': 20020, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 196.07421875}
{'pid': 20068, 'username': None, 'name': 'BeyondIdentity.exe', 'vms': 130.4140625}
{'pid': 20188, 'username': 'ADPROD\\khiray', 'name': 'Teams.exe', 'vms': 254.59765625}
